koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_disposition
2.1713484,0.0002637,-0.0002637,5.8181633,1.9105465,-1.9105465,656.8860989,37.77821,-37.77821,10249.0,264.7,-264.7,2.16986,0.0725729,-0.0725729,22601.9485814,,,3127.2040524,,,FALSE POSITIVE
1.9316462,5.3e-06,-5.3e-06,11.2154,2.6242,-2.6242,1286.0,1186.49,-1186.49,7070.0,126.4,-126.4,2.01,0.09,-0.09,44464.5,,,4045.0,,,CANDIDATE
1.8675574,3e-06,-3e-06,23.7529,,,1500.0,1.7584,-1.7584,8924.0,124.0,-124.0,5.73,,,2860.61,,,2037.0,,,FALSE POSITIVE
3.5730141,1.28e-05,-1.28e-05,11.3113,3.24714,-3.24714,755.0,1306.55,-1306.55,9219.0,171.1,-171.1,2.15,0.06,-0.06,54679.3,,,4260.0,,,FALSE POSITIVE
4.5505945,3.1e-06,-3.1e-06,7.10841,0.474611,-0.474611,3731.0,123.723,-123.723,5613.0,179.9,-179.9,1.09,0.07,-0.07,414.775,,,1257.0,,,FALSE POSITIVE
2.5047918,0.0004076,-0.0004076,8.6950898,8.438766,-8.438766,2270.5402194,81.38088,-81.38088,6616.0,200.0,-200.0,1.53429,1.4887,-1.4887,1750.932635,,,1649.8220699,,,FALSE POSITIVE
6.9989206,1.37e-05,-1.37e-05,14.7752,0.764705,-0.764705,2840.0,0.943618,-0.943618,6596.0,139.2,-139.2,2.7,0.13,-0.13,448.744,,,1282.0,,,CANDIDATE
2.0483755,5.5e-06,-5.5e-06,3.19621,,,483.0,41.94,-41.94,6858.5,584.6,-584.6,1.57,,,5644.4,,,,,,FALSE POSITIVE
1.4303699,8e-07,-8e-07,13.1874503,0.6576402,-0.6576402,18960.7122944,184.79134,-184.79134,5600.0,,,0.890774,0.0438467,-0.0438467,1281.2408254,,,1525.9048089,,,CONFIRMED
0.6808702,3.9e-05,-3.9e-05,5.9115908,1.5360428,-1.5360428,1507.8006889,39.971123,-39.971123,9438.0,782.0,-782.0,1.0,,,87140.6995884,,,4382.0266062,,,FALSE POSITIVE
2.4704981,7.3e-06,-7.3e-06,1.44656,0.107503,-0.107503,250.0,18.1279,-18.1279,5413.7,132.8,-132.8,0.94,0.05,-0.05,575.597,,,1364.0,,,CANDIDATE
1.3730466,6.7e-06,-6.7e-06,42.1479417,46.48904,-46.48904,1301.5065338,96.64637,-96.64637,4897.0,122.0,-122.0,6.7996101,,,3160.6328329,,,1912.3318636,,,FALSE POSITIVE
12.6889415,0.0095088,-0.0095088,14.0608342,15.241591,-15.241591,3232.8527885,235.25328,-235.25328,7601.0,135.8,-135.8,1.53641,0.0479799,-0.0479799,425.1594177,,,1158.1310368,,,FALSE POSITIVE
1.10422,0.00013,-0.00013,21.0448,5.22012,-5.22012,14177.7,843.788,-843.788,6995.2,157.0,-157.0,1.61,0.07,-0.07,39459.3,,,3926.0,,,FALSE POSITIVE
4.95912,0.00016,-0.00016,22.9123,3.28055,-3.28055,7440.0,197.962,-197.962,5889.0,124.3,-124.3,2.0,0.09,-0.09,673.55,,,1419.0,,,FALSE POSITIVE
5.2341008,1.2e-06,-1.2e-06,24.2931408,0.7497171,-0.7497171,20796.9416293,50.80361,-50.80361,7645.0,134.4,-134.4,1.56203,0.0481257,-0.0481257,1453.6663847,,,1574.8381848,,,CANDIDATE
4.4119378,8e-07,-8e-07,15.4706,0.691963,-0.691963,15062.0,69.1814,-69.1814,6280.0,,,1.21,0.05,-0.05,653.252,,,1408.0,,,CONFIRMED
1.90879,0.00035,-0.00035,3.34688,0.217749,-0.217749,618.482,1.43774,-1.43774,6022.6,133.5,-133.5,1.22,0.05,-0.05,985.807,,,1561.0,,,FALSE POSITIVE
1.3214483,2.31e-05,-2.31e-05,21.8839,4.01475,-4.01475,2180.0,137.946,-137.946,5050.8,86.8,-86.8,2.99,0.15,-0.15,35623.2,,,3827.0,,,FALSE POSITIVE
18.0157,0.00015,-0.00015,21.644,,,610.0,1.66317,-1.66317,4709.0,122.0,-122.0,7.61,,,7.64364,,,463.0,,,FALSE POSITIVE
14.2628757,3.85e-05,-3.85e-05,2.4765813,0.1510812,-0.1510812,913.2067174,37.2772746,-37.2772746,5690.0,129.0,-129.0,0.853898,0.0413895,-0.0413895,153.2069421,,,980.3628831,,,FALSE POSITIVE
3.2834565,4.6e-06,-4.6e-06,2.87648,0.314177,-0.314177,1558.0,185.42,-185.42,4272.0,122.7,-122.7,0.68,0.06,-0.06,161.092,,,992.0,,,CANDIDATE
11.02875,3.54e-05,-3.54e-05,2.76586,0.268927,-0.268927,1694.0,104.432,-104.432,4272.0,122.7,-122.7,0.68,0.06,-0.06,15.0463,,,548.0,,,CANDIDATE
