pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
29.45,93.59,-81.0,48.141651,0.26,9.48803557,-0.061,-19.5,0.105,615.8,81.0,5455.0,793.0,291.93423,-0.15,2.775e-05,19.5,0.927,-2.775e-05,2.26,-16.65,CONFIRMED,Kepler
2.87,9.11,-81.0,48.141651,0.32,54.4183827,-0.061,-35.5,0.105,874.8,81.0,5455.0,443.0,291.93423,-0.19,0.0002479,35.5,0.927,-0.0002479,2.83,-1.62,CONFIRMED,Kepler
31.04,39.3,-176.0,48.134129,3.92,19.89913995,-0.078,-171.0,0.233,10829.0,158.0,5853.0,638.0,297.00482,-1.31,1.494e-05,171.0,0.868,-1.494e-05,14.6,-10.49,CANDIDATE,Kepler
668.95,891.96,-174.0,48.28521,8.5,1.736952453,-0.067,-12.8,0.201,8079.2,157.0,5805.0,1395.0,285.53461,-2.83,2.63e-07,12.8,0.791,-2.63e-07,33.46,-230.35,FALSE POSITIVE,Kepler
874.33,926.16,-211.0,48.2262,0.88,2.525591777,-0.133,-16.9,0.334,603.3,169.0,6031.0,1406.0,288.75488,-0.35,3.761e-06,16.9,1.046,-3.761e-06,2.75,-314.24,CONFIRMED,Kepler
112.85,114.81,-232.0,48.22467,1.27,11.09432054,-0.105,-24.2,0.315,1517.5,189.0,6046.0,835.0,296.28613,-0.42,2.036e-05,24.2,0.972,-2.036e-05,3.9,-36.7,CONFIRMED,Kepler
420.33,427.65,-232.0,48.22467,0.9,4.13443512,-0.105,-18.7,0.315,686.0,189.0,6046.0,1160.0,296.28613,-0.3,1.046e-05,18.7,0.972,-1.046e-05,2.77,-136.7,CONFIRMED,Kepler
793.91,807.74,-232.0,48.22467,0.52,2.56658897,-0.105,-16.8,0.315,226.5,189.0,6046.0,1360.0,296.28613,-0.17,1.781e-05,16.8,0.972,-1.781e-05,1.59,-258.2,CONFIRMED,Kepler
349.28,767.22,-124.0,42.151569,6.45,7.36178958,-0.483,-5.8,0.322,233.7,111.0,6227.0,1342.0,298.86435,-9.67,2.128e-05,5.8,1.958,-2.128e-05,39.21,-365.49,FALSE POSITIVE,Kepler
4.46,30.75,-83.0,48.37579,0.22,16.06864674,-0.072,-33.3,0.033,4914.3,75.0,5031.0,600.0,286.99948,-0.49,1.088e-05,33.3,0.848,-1.088e-05,5.76,-6.66,CONFIRMED,Kepler
106.21,761.46,-78.0,49.316399,0.51,2.470613377,-0.038,-4.2,0.038,14231.0,78.0,5820.0,1339.0,286.80847,-0.51,2.7e-08,4.2,0.964,-2.7e-08,13.04,-95.76,CONFIRMED,Kepler
651.59,4148.92,-89.0,47.969521,0.81,2.204735417,-0.11,-1.7,0.099,6674.7,76.0,6440.0,2048.0,292.24728,-0.91,4.3e-08,1.7,1.952,-4.3e-08,16.1,-654.46,CONFIRMED,Kepler
307.23,1264.67,-137.0,42.45108,1.11,3.522498429,-0.11,-6.6,0.11,9145.7,112.0,6225.0,1521.0,281.28812,-1.11,1.98e-07,6.6,1.451,-1.98e-07,14.59,-276.48,CONFIRMED,Kepler
197.96,500.46,-117.0,48.49556,0.17,3.709214104,-0.107,-3.0,0.143,131.1,105.0,5833.0,1206.0,295.64871,-0.12,6.536e-06,3.0,1.022,-6.536e-06,1.16,-130.54,CONFIRMED,Kepler
58.89,75.88,-172.0,47.597401,39.76,11.521446064,-0.075,-31.9,0.224,17984.0,155.0,5795.0,753.0,297.07993,-13.31,1.98e-06,31.9,0.848,-1.98e-06,150.51,-19.99,FALSE POSITIVE,Kepler
6.66,17.69,-151.0,47.635319,0.76,19.40393776,-0.065,-53.3,0.072,8918.7,151.0,5043.0,523.0,289.25821,-0.68,2.068e-05,53.3,0.68,-2.068e-05,7.18,-4.88,FALSE POSITIVE,Kepler
54.55,55.97,-200.0,47.69035,16.03,19.221388942,-0.096,-21.9,0.308,74284.0,182.0,6117.0,698.0,295.81454,-5.0,1.123e-06,21.9,0.947,-1.123e-06,49.29,-16.4,FALSE POSITIVE,Kepler
12.01,29.61,-153.0,47.668701,0.89,16.46983774,-0.088,-39.9,0.088,10479.0,168.0,5152.0,595.0,297.15442,-0.89,1.361e-05,39.9,0.786,-1.361e-05,7.94,-8.91,FALSE POSITIVE,Kepler
12.49,41.85,-146.0,47.724449,0.2,9.27358173,-0.068,-16.8,0.056,1288.3,131.0,4856.0,649.0,288.13824,-0.24,1.037e-05,16.8,0.696,-1.037e-05,2.47,-11.7,CONFIRMED,Kepler
16.4,50.04,-123.0,47.86327,0.26,6.02930329,-0.036,-34.4,0.062,1912.7,123.0,4537.0,678.0,283.71088,-0.15,5.509e-06,34.4,0.672,-5.509e-06,2.85,-9.88,CONFIRMED,Kepler
