st_teff,st_raderr2,st_tefferr1,st_tefferr2,pl_insolerr2,pl_insol,pl_radeerr1,pl_trandep,pl_eqt,st_rad,pl_orbpererr2,pl_insolerr1,pl_rade,pl_radeerr2,pl_trandeperr1,st_raderr1,pl_orbpererr1,dec,ra,pl_orbper,pl_trandeperr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
5455.0,-0.061,81.0,-81.0,-16.65,93.59,0.26,615.8,793.0,0.927,-2.775e-05,29.45,2.26,-0.15,19.5,0.105,2.775e-05,48.141651,291.93423,9.48803557,-19.5,CONFIRMED,Kepler,2.437971952535059,31.579487179487177
5455.0,-0.061,81.0,-81.0,-1.62,9.11,0.32,874.8,443.0,0.927,-0.0002479,2.87,2.83,-0.19,35.5,0.105,0.0002479,48.141651,291.93423,54.4183827,-35.5,CONFIRMED,Kepler,3.052858683926645,24.642253521126758
5853.0,-0.078,158.0,-176.0,-10.49,39.3,3.92,10829.0,638.0,0.868,-1.494e-05,31.04,14.6,-1.31,171.0,0.233,1.494e-05,48.134129,297.00482,19.89913995,-171.0,CANDIDATE,Kepler,16.82027649769585,63.32748538011696
5805.0,-0.067,157.0,-174.0,-230.35,891.96,8.5,8079.2,1395.0,0.791,-2.63e-07,668.95,33.46,-2.83,12.8,0.201,2.63e-07,48.28521,285.53461,1.736952453,-12.8,FALSE POSITIVE,Kepler,42.30088495575221,631.1875
6031.0,-0.133,169.0,-211.0,-314.24,926.16,0.88,603.3,1406.0,1.046,-3.761e-06,874.33,2.75,-0.35,16.9,0.334,3.761e-06,48.2262,288.75488,2.525591777,-16.9,CONFIRMED,Kepler,2.62906309751434,35.69822485207101
6046.0,-0.105,189.0,-232.0,-36.7,114.81,1.27,1517.5,835.0,0.972,-2.036e-05,112.85,3.9,-0.42,24.2,0.315,2.036e-05,48.22467,296.28613,11.09432054,-24.2,CONFIRMED,Kepler,4.012345679012346,62.70661157024794
6046.0,-0.105,189.0,-232.0,-136.7,427.65,0.9,686.0,1160.0,0.972,-1.046e-05,420.33,2.77,-0.3,18.7,0.315,1.046e-05,48.22467,296.28613,4.13443512,-18.7,CONFIRMED,Kepler,2.8497942386831276,36.68449197860963
6046.0,-0.105,189.0,-232.0,-258.2,807.74,0.52,226.5,1360.0,0.972,-1.781e-05,793.91,1.59,-0.17,16.8,0.315,1.781e-05,48.22467,296.28613,2.56658897,-16.8,CONFIRMED,Kepler,1.6358024691358026,13.482142857142856
6227.0,-0.483,111.0,-124.0,-365.49,767.22,6.45,233.7,1342.0,1.958,-2.128e-05,349.28,39.21,-9.67,5.8,0.322,2.128e-05,42.151569,298.86435,7.36178958,-5.8,FALSE POSITIVE,Kepler,20.025536261491318,40.293103448275865
5031.0,-0.072,75.0,-83.0,-6.66,30.75,0.22,4914.3,600.0,0.848,-1.088e-05,4.46,5.76,-0.49,33.3,0.033,1.088e-05,48.37579,286.99948,16.06864674,-33.3,CONFIRMED,Kepler,6.7924528301886795,147.5765765765766
5820.0,-0.038,78.0,-78.0,-95.76,761.46,0.51,14231.0,1339.0,0.964,-2.7e-08,106.21,13.04,-0.51,4.2,0.038,2.7e-08,49.316399,286.80847,2.470613377,-4.2,CONFIRMED,Kepler,13.526970954356846,3388.333333333333
6440.0,-0.11,76.0,-89.0,-654.46,4148.92,0.81,6674.7,2048.0,1.952,-4.3e-08,651.59,16.1,-0.91,1.7,0.099,4.3e-08,47.969521,292.24728,2.204735417,-1.7,CONFIRMED,Kepler,8.247950819672132,3926.294117647059
6225.0,-0.11,112.0,-137.0,-276.48,1264.67,1.11,9145.7,1521.0,1.451,-1.98e-07,307.23,14.59,-1.11,6.6,0.11,1.98e-07,42.45108,281.28812,3.522498429,-6.6,CONFIRMED,Kepler,10.055134390075809,1385.7121212121215
5833.0,-0.107,105.0,-117.0,-130.54,500.46,0.17,131.1,1206.0,1.022,-6.536e-06,197.96,1.16,-0.12,3.0,0.143,6.536e-06,48.49556,295.64871,3.709214104,-3.0,CONFIRMED,Kepler,1.1350293542074363,43.699999999999996
5795.0,-0.075,155.0,-172.0,-19.99,75.88,39.76,17984.0,753.0,0.848,-1.98e-06,58.89,150.51,-13.31,31.9,0.224,1.98e-06,47.597401,297.07993,11.521446064,-31.9,FALSE POSITIVE,Kepler,177.4882075471698,563.7617554858934
5043.0,-0.065,151.0,-151.0,-4.88,17.69,0.76,8918.7,523.0,0.68,-2.068e-05,6.66,7.18,-0.68,53.3,0.072,2.068e-05,47.635319,289.25821,19.40393776,-53.3,FALSE POSITIVE,Kepler,10.558823529411763,167.3302063789869
6117.0,-0.096,182.0,-200.0,-16.4,55.97,16.03,74284.0,698.0,0.947,-1.123e-06,54.55,49.29,-5.0,21.9,0.308,1.123e-06,47.69035,295.81454,19.221388942,-21.9,FALSE POSITIVE,Kepler,52.04857444561774,3391.963470319635
5152.0,-0.088,168.0,-153.0,-8.91,29.61,0.89,10479.0,595.0,0.786,-1.361e-05,12.01,7.94,-0.89,39.9,0.088,1.361e-05,47.668701,297.15442,16.46983774,-39.9,FALSE POSITIVE,Kepler,10.101781170483461,262.63157894736844
4856.0,-0.068,131.0,-146.0,-11.7,41.85,0.2,1288.3,649.0,0.696,-1.037e-05,12.49,2.47,-0.24,16.8,0.056,1.037e-05,47.724449,288.13824,9.27358173,-16.8,CONFIRMED,Kepler,3.5488505747126444,76.68452380952381
4537.0,-0.036,123.0,-123.0,-9.88,50.04,0.26,1912.7,678.0,0.672,-5.509e-06,16.4,2.85,-0.15,34.4,0.062,5.509e-06,47.86327,283.71088,6.02930329,-34.4,CONFIRMED,Kepler,4.241071428571429,55.60174418604652
4989.0,-0.082,149.0,-149.0,-86.33,305.34,0.13,397.9,1066.0,0.819,-7.534e-06,96.64,1.58,-0.16,9.5,0.067,7.534e-06,47.804298,283.76547,2.696370652,-9.5,FALSE POSITIVE,Kepler,1.9291819291819294,41.88421052631579
5185.0,-0.086,85.0,-77.0,-38.48,168.99,0.16,831.0,919.0,0.91,-8.834e-06,34.66,2.55,-0.24,14.8,0.057,8.834e-06,47.880989,292.37613,5.349553819,-14.8,CONFIRMED,Kepler,2.802197802197802,56.148648648648646
5185.0,-0.086,85.0,-77.0,-57.65,253.15,0.11,363.3,1018.0,0.91,-1.094e-05,51.91,1.7,-0.16,13.9,0.057,1.094e-05,47.880989,292.37613,3.94105221,-13.9,CONFIRMED,Kepler,1.868131868131868,26.136690647482016
5185.0,-0.086,85.0,-77.0,-22.09,97.03,0.09,217.4,800.0,0.91,-6.787e-05,19.9,1.3,-0.12,16.8,0.057,6.787e-05,47.880989,292.37613,8.10904807,-16.8,CONFIRMED,Kepler,1.4285714285714286,12.94047619047619
