pl_trandeperr2,dec,pl_orbpererr1,st_rad,st_raderr1,pl_radeerr2,pl_orbper,pl_trandep,st_tefferr1,pl_insol,pl_rade,pl_insolerr1,pl_trandeperr1,pl_insolerr2,ra,st_teff,pl_eqt,pl_orbpererr2,st_raderr2,pl_radeerr1,st_tefferr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
-19.5,48.141651,2.775e-05,0.927,0.105,-0.15,9.48803557,615.8,81.0,93.59,2.26,29.45,19.5,-16.65,291.93423,5455.0,793.0,-2.775e-05,-0.061,0.26,-81.0,CONFIRMED,Kepler,2.437971952535059,31.579487179487177
-35.5,48.141651,0.0002479,0.927,0.105,-0.19,54.4183827,874.8,81.0,9.11,2.83,2.87,35.5,-1.62,291.93423,5455.0,443.0,-0.0002479,-0.061,0.32,-81.0,CONFIRMED,Kepler,3.052858683926645,24.642253521126758
-171.0,48.134129,1.494e-05,0.868,0.233,-1.31,19.89913995,10829.0,158.0,39.3,14.6,31.04,171.0,-10.49,297.00482,5853.0,638.0,-1.494e-05,-0.078,3.92,-176.0,CANDIDATE,Kepler,16.82027649769585,63.32748538011696
-12.8,48.28521,2.63e-07,0.791,0.201,-2.83,1.736952453,8079.2,157.0,891.96,33.46,668.95,12.8,-230.35,285.53461,5805.0,1395.0,-2.63e-07,-0.067,8.5,-174.0,FALSE POSITIVE,Kepler,42.30088495575221,631.1875
-16.9,48.2262,3.761e-06,1.046,0.334,-0.35,2.525591777,603.3,169.0,926.16,2.75,874.33,16.9,-314.24,288.75488,6031.0,1406.0,-3.761e-06,-0.133,0.88,-211.0,CONFIRMED,Kepler,2.62906309751434,35.69822485207101
-24.2,48.22467,2.036e-05,0.972,0.315,-0.42,11.09432054,1517.5,189.0,114.81,3.9,112.85,24.2,-36.7,296.28613,6046.0,835.0,-2.036e-05,-0.105,1.27,-232.0,CONFIRMED,Kepler,4.012345679012346,62.70661157024794
-18.7,48.22467,1.046e-05,0.972,0.315,-0.3,4.13443512,686.0,189.0,427.65,2.77,420.33,18.7,-136.7,296.28613,6046.0,1160.0,-1.046e-05,-0.105,0.9,-232.0,CONFIRMED,Kepler,2.8497942386831276,36.68449197860963
-16.8,48.22467,1.781e-05,0.972,0.315,-0.17,2.56658897,226.5,189.0,807.74,1.59,793.91,16.8,-258.2,296.28613,6046.0,1360.0,-1.781e-05,-0.105,0.52,-232.0,CONFIRMED,Kepler,1.6358024691358026,13.482142857142856
-5.8,42.151569,2.128e-05,1.958,0.322,-9.67,7.36178958,233.7,111.0,767.22,39.21,349.28,5.8,-365.49,298.86435,6227.0,1342.0,-2.128e-05,-0.483,6.45,-124.0,FALSE POSITIVE,Kepler,20.025536261491318,40.293103448275865
-33.3,48.37579,1.088e-05,0.848,0.033,-0.49,16.06864674,4914.3,75.0,30.75,5.76,4.46,33.3,-6.66,286.99948,5031.0,600.0,-1.088e-05,-0.072,0.22,-83.0,CONFIRMED,Kepler,6.7924528301886795,147.5765765765766
-4.2,49.316399,2.7e-08,0.964,0.038,-0.51,2.470613377,14231.0,78.0,761.46,13.04,106.21,4.2,-95.76,286.80847,5820.0,1339.0,-2.7e-08,-0.038,0.51,-78.0,CONFIRMED,Kepler,13.526970954356846,3388.333333333333
-1.7,47.969521,4.3e-08,1.952,0.099,-0.91,2.204735417,6674.7,76.0,4148.92,16.1,651.59,1.7,-654.46,292.24728,6440.0,2048.0,-4.3e-08,-0.11,0.81,-89.0,CONFIRMED,Kepler,8.247950819672132,3926.294117647059
-6.6,42.45108,1.98e-07,1.451,0.11,-1.11,3.522498429,9145.7,112.0,1264.67,14.59,307.23,6.6,-276.48,281.28812,6225.0,1521.0,-1.98e-07,-0.11,1.11,-137.0,CONFIRMED,Kepler,10.055134390075809,1385.7121212121215
-3.0,48.49556,6.536e-06,1.022,0.143,-0.12,3.709214104,131.1,105.0,500.46,1.16,197.96,3.0,-130.54,295.64871,5833.0,1206.0,-6.536e-06,-0.107,0.17,-117.0,CONFIRMED,Kepler,1.1350293542074363,43.699999999999996
-31.9,47.597401,1.98e-06,0.848,0.224,-13.31,11.521446064,17984.0,155.0,75.88,150.51,58.89,31.9,-19.99,297.07993,5795.0,753.0,-1.98e-06,-0.075,39.76,-172.0,FALSE POSITIVE,Kepler,177.4882075471698,563.7617554858934
-53.3,47.635319,2.068e-05,0.68,0.072,-0.68,19.40393776,8918.7,151.0,17.69,7.18,6.66,53.3,-4.88,289.25821,5043.0,523.0,-2.068e-05,-0.065,0.76,-151.0,FALSE POSITIVE,Kepler,10.558823529411763,167.3302063789869
-21.9,47.69035,1.123e-06,0.947,0.308,-5.0,19.221388942,74284.0,182.0,55.97,49.29,54.55,21.9,-16.4,295.81454,6117.0,698.0,-1.123e-06,-0.096,16.03,-200.0,FALSE POSITIVE,Kepler,52.04857444561774,3391.963470319635
-39.9,47.668701,1.361e-05,0.786,0.088,-0.89,16.46983774,10479.0,168.0,29.61,7.94,12.01,39.9,-8.91,297.15442,5152.0,595.0,-1.361e-05,-0.088,0.89,-153.0,FALSE POSITIVE,Kepler,10.101781170483461,262.63157894736844
-16.8,47.724449,1.037e-05,0.696,0.056,-0.24,9.27358173,1288.3,131.0,41.85,2.47,12.49,16.8,-11.7,288.13824,4856.0,649.0,-1.037e-05,-0.068,0.2,-146.0,CONFIRMED,Kepler,3.5488505747126444,76.68452380952381
-34.4,47.86327,5.509e-06,0.672,0.062,-0.15,6.02930329,1912.7,123.0,50.04,2.85,16.4,34.4,-9.88,283.71088,4537.0,678.0,-5.509e-06,-0.036,0.26,-123.0,CONFIRMED,Kepler,4.241071428571429,55.60174418604652
-9.5,47.804298,7.534e-06,0.819,0.067,-0.16,2.696370652,397.9,149.0,305.34,1.58,96.64,9.5,-86.33,283.76547,4989.0,1066.0,-7.534e-06,-0.082,0.13,-149.0,FALSE POSITIVE,Kepler,1.9291819291819294,41.88421052631579
