st_tefferr2,st_raderr2,st_teff,pl_trandep,pl_orbpererr1,st_raderr1,pl_radeerr2,pl_insol,pl_trandeperr2,pl_insolerr1,st_tefferr1,pl_insolerr2,pl_trandeperr1,pl_orbper,pl_eqt,pl_orbpererr2,dec,ra,st_rad,pl_rade,pl_radeerr1,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
-81.0,-0.061,5455.0,615.8,2.775e-05,0.105,-0.15,93.59,-19.5,29.45,81.0,-16.65,19.5,9.48803557,793.0,-2.775e-05,48.141651,291.93423,0.927,2.26,0.26,CONFIRMED,Kepler,2.437971952535059,31.579487179487177
-81.0,-0.061,5455.0,874.8,0.0002479,0.105,-0.19,9.11,-35.5,2.87,81.0,-1.62,35.5,54.4183827,443.0,-0.0002479,48.141651,291.93423,0.927,2.83,0.32,CONFIRMED,Kepler,3.052858683926645,24.642253521126758
-176.0,-0.078,5853.0,10829.0,1.494e-05,0.233,-1.31,39.3,-171.0,31.04,158.0,-10.49,171.0,19.89913995,638.0,-1.494e-05,48.134129,297.00482,0.868,14.6,3.92,CANDIDATE,Kepler,16.82027649769585,63.32748538011696
-174.0,-0.067,5805.0,8079.2,2.63e-07,0.201,-2.83,891.96,-12.8,668.95,157.0,-230.35,12.8,1.736952453,1395.0,-2.63e-07,48.28521,285.53461,0.791,33.46,8.5,FALSE POSITIVE,Kepler,42.30088495575221,631.1875
-211.0,-0.133,6031.0,603.3,3.761e-06,0.334,-0.35,926.16,-16.9,874.33,169.0,-314.24,16.9,2.525591777,1406.0,-3.761e-06,48.2262,288.75488,1.046,2.75,0.88,CONFIRMED,Kepler,2.62906309751434,35.69822485207101
-232.0,-0.105,6046.0,1517.5,2.036e-05,0.315,-0.42,114.81,-24.2,112.85,189.0,-36.7,24.2,11.09432054,835.0,-2.036e-05,48.22467,296.28613,0.972,3.9,1.27,CONFIRMED,Kepler,4.012345679012346,62.70661157024794
-232.0,-0.105,6046.0,686.0,1.046e-05,0.315,-0.3,427.65,-18.7,420.33,189.0,-136.7,18.7,4.13443512,1160.0,-1.046e-05,48.22467,296.28613,0.972,2.77,0.9,CONFIRMED,Kepler,2.8497942386831276,36.68449197860963
-232.0,-0.105,6046.0,226.5,1.781e-05,0.315,-0.17,807.74,-16.8,793.91,189.0,-258.2,16.8,2.56658897,1360.0,-1.781e-05,48.22467,296.28613,0.972,1.59,0.52,CONFIRMED,Kepler,1.6358024691358026,13.482142857142856
-124.0,-0.483,6227.0,233.7,2.128e-05,0.322,-9.67,767.22,-5.8,349.28,111.0,-365.49,5.8,7.36178958,1342.0,-2.128e-05,42.151569,298.86435,1.958,39.21,6.45,FALSE POSITIVE,Kepler,20.025536261491318,40.293103448275865
-83.0,-0.072,5031.0,4914.3,1.088e-05,0.033,-0.49,30.75,-33.3,4.46,75.0,-6.66,33.3,16.06864674,600.0,-1.088e-05,48.37579,286.99948,0.848,5.76,0.22,CONFIRMED,Kepler,6.7924528301886795,147.5765765765766
-78.0,-0.038,5820.0,14231.0,2.7e-08,0.038,-0.51,761.46,-4.2,106.21,78.0,-95.76,4.2,2.470613377,1339.0,-2.7e-08,49.316399,286.80847,0.964,13.04,0.51,CONFIRMED,Kepler,13.526970954356846,3388.333333333333
-89.0,-0.11,6440.0,6674.7,4.3e-08,0.099,-0.91,4148.92,-1.7,651.59,76.0,-654.46,1.7,2.204735417,2048.0,-4.3e-08,47.969521,292.24728,1.952,16.1,0.81,CONFIRMED,Kepler,8.247950819672132,3926.294117647059
-137.0,-0.11,6225.0,9145.7,1.98e-07,0.11,-1.11,1264.67,-6.6,307.23,112.0,-276.48,6.6,3.522498429,1521.0,-1.98e-07,42.45108,281.28812,1.451,14.59,1.11,CONFIRMED,Kepler,10.055134390075809,1385.7121212121215
-117.0,-0.107,5833.0,131.1,6.536e-06,0.143,-0.12,500.46,-3.0,197.96,105.0,-130.54,3.0,3.709214104,1206.0,-6.536e-06,48.49556,295.64871,1.022,1.16,0.17,CONFIRMED,Kepler,1.1350293542074363,43.699999999999996
-172.0,-0.075,5795.0,17984.0,1.98e-06,0.224,-13.31,75.88,-31.9,58.89,155.0,-19.99,31.9,11.521446064,753.0,-1.98e-06,47.597401,297.07993,0.848,150.51,39.76,FALSE POSITIVE,Kepler,177.4882075471698,563.7617554858934
-151.0,-0.065,5043.0,8918.7,2.068e-05,0.072,-0.68,17.69,-53.3,6.66,151.0,-4.88,53.3,19.40393776,523.0,-2.068e-05,47.635319,289.25821,0.68,7.18,0.76,FALSE POSITIVE,Kepler,10.558823529411763,167.3302063789869
-200.0,-0.096,6117.0,74284.0,1.123e-06,0.308,-5.0,55.97,-21.9,54.55,182.0,-16.4,21.9,19.221388942,698.0,-1.123e-06,47.69035,295.81454,0.947,49.29,16.03,FALSE POSITIVE,Kepler,52.04857444561774,3391.963470319635
-153.0,-0.088,5152.0,10479.0,1.361e-05,0.088,-0.89,29.61,-39.9,12.01,168.0,-8.91,39.9,16.46983774,595.0,-1.361e-05,47.668701,297.15442,0.786,7.94,0.89,FALSE POSITIVE,Kepler,10.101781170483461,262.63157894736844
-146.0,-0.068,4856.0,1288.3,1.037e-05,0.056,-0.24,41.85,-16.8,12.49,131.0,-11.7,16.8,9.27358173,649.0,-1.037e-05,47.724449,288.13824,0.696,2.47,0.2,CONFIRMED,Kepler,3.5488505747126444,76.68452380952381
-123.0,-0.036,4537.0,1912.7,5.509e-06,0.062,-0.15,50.04,-34.4,16.4,123.0,-9.88,34.4,6.02930329,678.0,-5.509e-06,47.86327,283.71088,0.672,2.85,0.26,CONFIRMED,Kepler,4.241071428571429,55.60174418604652
-149.0,-0.082,4989.0,397.9,7.534e-06,0.067,-0.16,305.34,-9.5,96.64,149.0,-86.33,9.5,2.696370652,1066.0,-7.534e-06,47.804298,283.76547,0.819,1.58,0.13,FALSE POSITIVE,Kepler,1.9291819291819294,41.88421052631579
-77.0,-0.086,5185.0,831.0,8.834e-06,0.057,-0.24,168.99,-14.8,34.66,85.0,-38.48,14.8,5.349553819,919.0,-8.834e-06,47.880989,292.37613,0.91,2.55,0.16,CONFIRMED,Kepler,2.802197802197802,56.148648648648646
-77.0,-0.086,5185.0,363.3,1.094e-05,0.057,-0.16,253.15,-13.9,51.91,85.0,-57.65,13.9,3.94105221,1018.0,-1.094e-05,47.880989,292.37613,0.91,1.7,0.11,CONFIRMED,Kepler,1.868131868131868,26.136690647482016
-77.0,-0.086,5185.0,217.4,6.787e-05,0.057,-0.12,97.03,-16.8,19.9,85.0,-22.09,16.8,8.10904807,800.0,-6.787e-05,47.880989,292.37613,0.91,1.3,0.09,CONFIRMED,Kepler,1.4285714285714286,12.94047619047619
-79.0,-0.064,5543.0,24927.0,0.0001369,0.064,-1.68,1.84,-45.8,0.26,79.0,-0.24,45.8,386.6030528,297.0,-0.0001369,37.671558,292.27374,1.58,41.5,1.68,FALSE POSITIVE,Kepler,26.265822784810126,544.2576419213974
-79.0,-0.065,4954.0,857.2,7.01e-05,0.032,-0.23,18.64,-27.1,2.78,79.0,-3.8,27.1,21.67699193,530.0,-7.01e-05,47.92918,290.46512,0.828,2.95,0.12,CONFIRMED,Kepler,3.56280193236715,31.6309963099631
-159.0,-0.069,5339.0,934.7,1.389e-05,0.161,-0.23,166.95,-39.7,102.06,175.0,-42.14,39.7,4.99677968,917.0,-1.389e-05,47.946671,297.80826,0.847,2.78,0.52,CONFIRMED,Kepler,3.282172373081464,23.544080604534006
-169.0,-0.069,5644.0,750.8,6.141e-06,0.207,-0.19,247.87,-14.1,182.24,152.0,-63.32,14.1,4.280963604,1012.0,-6.141e-06,49.314091,294.26581,0.831,2.3,0.58,CONFIRMED,Kepler,2.7677496991576414,53.248226950354606
-172.0,-0.08,5714.0,2211.7,4.7e-07,0.186,-0.44,1054.12,-18.3,703.1,155.0,-292.26,18.3,1.50635409,1452.0,-4.7e-07,49.351009,295.66522,0.831,4.53,1.01,FALSE POSITIVE,Kepler,5.451263537906137,120.85792349726775
-111.0,-0.049,5520.0,18091.0,0.001237,0.148,-0.71,0.35,-33.5,0.15,100.0,-0.06,33.5,670.645531,196.0,-0.001237,49.316479,296.69861,0.983,14.14,2.13,FALSE POSITIVE,Kepler,14.384537131230926,540.0298507462686
-220.0,-0.15,6144.0,5123.3,0.000156,0.35,-5.48,15.43,-70.6,14.85,184.0,-5.51,70.6,61.2563628,505.0,-0.000156,49.479519,283.72592,1.091,39.87,12.79,FALSE POSITIVE,Kepler,36.54445462878093,72.56798866855524
-74.0,-0.124,5481.0,724.2,0.0001602,0.138,-0.34,18.53,-23.4,6.72,82.0,-4.93,23.4,38.3775486,529.0,-0.0001602,49.480869,291.72202,1.036,2.82,0.37,CONFIRMED,Kepler,2.7220077220077217,30.948717948717952
-83.0,-0.072,5031.0,2213.9,9.345e-05,0.033,-0.33,8.76,-45.5,1.27,75.0,-1.9,45.5,41.19725502,439.0,-9.345e-05,48.37579,286.99948,0.848,3.86,0.15,CONFIRMED,Kepler,4.55188679245283,48.65714285714286
-83.0,-0.072,5031.0,1036.9,9.577e-06,0.033,-0.23,108.3,-24.5,15.73,75.0,-23.44,24.5,6.252962249,823.0,-9.577e-06,48.37579,286.99948,0.848,2.65,0.1,CONFIRMED,Kepler,3.125,42.32244897959184
-149.0,-0.082,5015.0,1121.9,4.854e-05,0.091,-0.31,29.31,-39.4,11.77,164.0,-8.24,39.4,16.01308419,593.0,-4.854e-05,48.478588,297.02563,0.826,3.1,0.34,CONFIRMED,Kepler,3.7530266343825667,28.474619289340104
-152.0,-0.077,5586.0,1804.8,5.801e-05,0.181,-0.33,15.55,-25.4,10.51,152.0,-4.18,25.4,32.62876672,506.0,-5.801e-05,48.505859,285.71854,0.798,3.36,0.76,CONFIRMED,Kepler,4.2105263157894735,71.05511811023622
-152.0,-0.077,5586.0,652.0,0.0007518,0.181,-0.21,3.92,-36.2,2.64,152.0,-1.06,36.2,91.7732862,359.0,-0.0007518,48.505859,285.71854,0.798,2.12,0.48,CONFIRMED,Kepler,2.656641604010025,18.011049723756905
-77.0,-0.13,5712.0,9802.0,5.15e-07,0.173,-1.46,349.4,-20.0,146.52,77.0,-93.21,20.0,4.959319244,1103.0,-5.15e-07,48.727589,292.16705,1.082,12.21,1.96,CONFIRMED,Kepler,11.284658040665434,490.1
-182.0,-0.105,5550.0,860.4,5.634e-06,0.228,-0.75,527.81,-20.9,411.33,182.0,-166.35,20.9,2.701287801,1222.0,-5.634e-06,48.777321,297.92365,0.91,6.54,1.64,FALSE POSITIVE,Kepler,7.186813186813187,41.16746411483254
-210.0,-0.1,6075.0,460.0,1.777e-05,0.3,-0.22,389.62,-17.5,365.71,189.0,-117.4,17.5,4.49876511,1133.0,-1.777e-05,48.791592,298.45685,0.969,2.1,0.65,CONFIRMED,Kepler,2.1671826625387,26.285714285714285
-210.0,-0.144,6074.0,11766.0,5.862e-06,0.336,-1.69,67.03,-27.7,62.46,168.0,-23.51,27.7,19.651209505,730.0,-5.862e-06,48.933842,291.0939,1.063,12.42,3.92,FALSE POSITIVE,Kepler,11.683913452492945,424.7653429602888
-115.0,-0.142,5779.0,601.6,3.052e-06,0.157,-0.38,337.68,-4.0,137.29,104.0,-102.18,4.0,5.412203927,1093.0,-3.052e-06,46.276241,287.88733,1.087,2.94,0.43,CONFIRMED,Kepler,2.704691812327507,150.4
-164.0,-0.183,5468.0,2793.1,7.557e-05,0.297,-0.96,16.72,-22.6,14.66,180.0,-6.64,22.6,41.43958662,516.0,-7.557e-05,49.017342,295.55505,1.046,5.5,1.57,CONFIRMED,Kepler,5.25812619502868,123.58849557522123
-152.0,-0.073,5592.0,1041.6,1.524e-05,0.169,-0.24,91.9,-28.2,59.06,152.0,-24.15,28.2,8.35389523,790.0,-1.524e-05,49.277351,285.49924,0.787,2.52,0.54,CONFIRMED,Kepler,3.2020330368487926,36.93617021276596
