koi_depth_err1,koi_period,koi_period_err2,koi_depth_err2,koi_teq_err1,koi_steff_err2,koi_disposition,koi_steff_err1,koi_steff,koi_prad_err2,koi_insol_err1,koi_teq_err2,koi_teq,koi_insol_err2,koi_prad_err1,koi_srad_err2,source,koi_insol,koi_prad,koi_srad_err1,koi_depth,koi_period_err1,koi_srad
19.5,9.48803557,-2.775e-05,-19.5,0.0,-81.0,CONFIRMED,81.0,5455.0,-0.15,29.45,0.0,793.0,-16.65,0.26,-0.061,Kepler,93.59,2.26,0.105,615.8,2.775e-05,0.927
35.5,54.4183827,-0.0002479,-35.5,0.0,-81.0,CONFIRMED,81.0,5455.0,-0.19,2.87,0.0,443.0,-1.62,0.32,-0.061,Kepler,9.11,2.83,0.105,874.8,0.0002479,0.927
171.0,19.89913995,-1.494e-05,-171.0,0.0,-176.0,CANDIDATE,158.0,5853.0,-1.31,31.04,0.0,638.0,-10.49,3.92,-0.078,Kepler,39.3,14.6,0.233,10829.0,1.494e-05,0.868
12.8,1.736952453,-2.63e-07,-12.8,0.0,-174.0,FALSE POSITIVE,157.0,5805.0,-2.83,668.95,0.0,1395.0,-230.35,8.5,-0.067,Kepler,891.96,33.46,0.201,8079.2,2.63e-07,0.791
16.9,2.525591777,-3.761e-06,-16.9,0.0,-211.0,CONFIRMED,169.0,6031.0,-0.35,874.33,0.0,1406.0,-314.24,0.88,-0.133,Kepler,926.16,2.75,0.334,603.3,3.761e-06,1.046
24.2,11.09432054,-2.036e-05,-24.2,0.0,-232.0,CONFIRMED,189.0,6046.0,-0.42,112.85,0.0,835.0,-36.7,1.27,-0.105,Kepler,114.81,3.9,0.315,1517.5,2.036e-05,0.972
18.7,4.13443512,-1.046e-05,-18.7,0.0,-232.0,CONFIRMED,189.0,6046.0,-0.3,420.33,0.0,1160.0,-136.7,0.9,-0.105,Kepler,427.65,2.77,0.315,686.0,1.046e-05,0.972
16.8,2.56658897,-1.781e-05,-16.8,0.0,-232.0,CONFIRMED,189.0,6046.0,-0.17,793.91,0.0,1360.0,-258.2,0.52,-0.105,Kepler,807.74,1.59,0.315,226.5,1.781e-05,0.972
5.8,7.36178958,-2.128e-05,-5.8,0.0,-124.0,FALSE POSITIVE,111.0,6227.0,-9.67,349.28,0.0,1342.0,-365.49,6.45,-0.483,Kepler,767.22,39.21,0.322,233.7,2.128e-05,1.958
33.3,16.06864674,-1.088e-05,-33.3,0.0,-83.0,CONFIRMED,75.0,5031.0,-0.49,4.46,0.0,600.0,-6.66,0.22,-0.072,Kepler,30.75,5.76,0.033,4914.3,1.088e-05,0.848
4.2,2.470613377,-2.7e-08,-4.2,0.0,-78.0,CONFIRMED,78.0,5820.0,-0.51,106.21,0.0,1339.0,-95.76,0.51,-0.038,Kepler,761.46,13.04,0.038,14231.0,2.7e-08,0.964
1.7,2.204735417,-4.3e-08,-1.7,0.0,-89.0,CONFIRMED,76.0,6440.0,-0.91,651.59,0.0,2048.0,-654.46,0.81,-0.11,Kepler,4148.92,16.1,0.099,6674.7,4.3e-08,1.952
6.6,3.522498429,-1.98e-07,-6.6,0.0,-137.0,CONFIRMED,112.0,6225.0,-1.11,307.23,0.0,1521.0,-276.48,1.11,-0.11,Kepler,1264.67,14.59,0.11,9145.7,1.98e-07,1.451
3.0,3.709214104,-6.536e-06,-3.0,0.0,-117.0,CONFIRMED,105.0,5833.0,-0.12,197.96,0.0,1206.0,-130.54,0.17,-0.107,Kepler,500.46,1.16,0.143,131.1,6.536e-06,1.022
31.9,11.521446064,-1.98e-06,-31.9,0.0,-172.0,FALSE POSITIVE,155.0,5795.0,-13.31,58.89,0.0,753.0,-19.99,39.76,-0.075,Kepler,75.88,150.51,0.224,17984.0,1.98e-06,0.848
53.3,19.40393776,-2.068e-05,-53.3,0.0,-151.0,FALSE POSITIVE,151.0,5043.0,-0.68,6.66,0.0,523.0,-4.88,0.76,-0.065,Kepler,17.69,7.18,0.072,8918.7,2.068e-05,0.68
21.9,19.221388942,-1.123e-06,-21.9,0.0,-200.0,FALSE POSITIVE,182.0,6117.0,-5.0,54.55,0.0,698.0,-16.4,16.03,-0.096,Kepler,55.97,49.29,0.308,74284.0,1.123e-06,0.947
39.9,16.46983774,-1.361e-05,-39.9,0.0,-153.0,FALSE POSITIVE,168.0,5152.0,-0.89,12.01,0.0,595.0,-8.91,0.89,-0.088,Kepler,29.61,7.94,0.088,10479.0,1.361e-05,0.786
16.8,9.27358173,-1.037e-05,-16.8,0.0,-146.0,CONFIRMED,131.0,4856.0,-0.24,12.49,0.0,649.0,-11.7,0.2,-0.068,Kepler,41.85,2.47,0.056,1288.3,1.037e-05,0.696
34.4,6.02930329,-5.509e-06,-34.4,0.0,-123.0,CONFIRMED,123.0,4537.0,-0.15,16.4,0.0,678.0,-9.88,0.26,-0.036,Kepler,50.04,2.85,0.062,1912.7,5.509e-06,0.672
9.5,2.696370652,-7.534e-06,-9.5,0.0,-149.0,FALSE POSITIVE,149.0,4989.0,-0.16,96.64,0.0,1066.0,-86.33,0.13,-0.082,Kepler,305.34,1.58,0.067,397.9,7.534e-06,0.819
14.8,5.349553819,-8.834e-06,-14.8,0.0,-77.0,CONFIRMED,85.0,5185.0,-0.24,34.66,0.0,919.0,-38.48,0.16,-0.086,Kepler,168.99,2.55,0.057,831.0,8.834e-06,0.91
13.9,3.94105221,-1.094e-05,-13.9,0.0,-77.0,CONFIRMED,85.0,5185.0,-0.16,51.91,0.0,1018.0,-57.65,0.11,-0.086,Kepler,253.15,1.7,0.057,363.3,1.094e-05,0.91
16.8,8.10904807,-6.787e-05,-16.8,0.0,-77.0,CONFIRMED,85.0,5185.0,-0.12,19.9,0.0,800.0,-22.09,0.09,-0.086,Kepler,97.03,1.3,0.057,217.4,6.787e-05,0.91
45.8,386.6030528,-0.0001369,-45.8,0.0,-79.0,FALSE POSITIVE,79.0,5543.0,-1.68,0.26,0.0,297.0,-0.24,1.68,-0.064,Kepler,1.84,41.5,0.064,24927.0,0.0001369,1.58
