pl_orbper,pl_trandeperr1,st_tefferr1,pl_eqt,pl_rade,st_raderr2,pl_trandeperr2,pl_radeerr1,ra,pl_trandep,pl_insolerr1,st_rad,pl_orbpererr1,st_teff,pl_radeerr2,pl_orbpererr2,st_tefferr2,pl_insol,st_raderr1,dec,pl_insolerr2,disposition,source,pl_rad_to_star_rad_ratio,pl_signal_significance
9.48803557,19.5,81.0,793.0,2.26,-0.061,-19.5,0.26,291.93423,615.8,29.45,0.927,2.775e-05,5455.0,-0.15,-2.775e-05,-81.0,93.59,0.105,48.141651,-16.65,CONFIRMED,Kepler,2.437971952535059,31.579487179487177
54.4183827,35.5,81.0,443.0,2.83,-0.061,-35.5,0.32,291.93423,874.8,2.87,0.927,0.0002479,5455.0,-0.19,-0.0002479,-81.0,9.11,0.105,48.141651,-1.62,CONFIRMED,Kepler,3.052858683926645,24.642253521126758
19.89913995,171.0,158.0,638.0,14.6,-0.078,-171.0,3.92,297.00482,10829.0,31.04,0.868,1.494e-05,5853.0,-1.31,-1.494e-05,-176.0,39.3,0.233,48.134129,-10.49,CANDIDATE,Kepler,16.82027649769585,63.32748538011696
1.736952453,12.8,157.0,1395.0,33.46,-0.067,-12.8,8.5,285.53461,8079.2,668.95,0.791,2.63e-07,5805.0,-2.83,-2.63e-07,-174.0,891.96,0.201,48.28521,-230.35,FALSE POSITIVE,Kepler,42.30088495575221,631.1875
2.525591777,16.9,169.0,1406.0,2.75,-0.133,-16.9,0.88,288.75488,603.3,874.33,1.046,3.761e-06,6031.0,-0.35,-3.761e-06,-211.0,926.16,0.334,48.2262,-314.24,CONFIRMED,Kepler,2.62906309751434,35.69822485207101
11.09432054,24.2,189.0,835.0,3.9,-0.105,-24.2,1.27,296.28613,1517.5,112.85,0.972,2.036e-05,6046.0,-0.42,-2.036e-05,-232.0,114.81,0.315,48.22467,-36.7,CONFIRMED,Kepler,4.012345679012346,62.70661157024794
4.13443512,18.7,189.0,1160.0,2.77,-0.105,-18.7,0.9,296.28613,686.0,420.33,0.972,1.046e-05,6046.0,-0.3,-1.046e-05,-232.0,427.65,0.315,48.22467,-136.7,CONFIRMED,Kepler,2.8497942386831276,36.68449197860963
2.56658897,16.8,189.0,1360.0,1.59,-0.105,-16.8,0.52,296.28613,226.5,793.91,0.972,1.781e-05,6046.0,-0.17,-1.781e-05,-232.0,807.74,0.315,48.22467,-258.2,CONFIRMED,Kepler,1.6358024691358026,13.482142857142856
7.36178958,5.8,111.0,1342.0,39.21,-0.483,-5.8,6.45,298.86435,233.7,349.28,1.958,2.128e-05,6227.0,-9.67,-2.128e-05,-124.0,767.22,0.322,42.151569,-365.49,FALSE POSITIVE,Kepler,20.025536261491318,40.293103448275865
16.06864674,33.3,75.0,600.0,5.76,-0.072,-33.3,0.22,286.99948,4914.3,4.46,0.848,1.088e-05,5031.0,-0.49,-1.088e-05,-83.0,30.75,0.033,48.37579,-6.66,CONFIRMED,Kepler,6.7924528301886795,147.5765765765766
